sdv_user_id,calendar_date,start_time_in_seconds,duration_in_seconds,steps,steps_goal,end_time_in_seconds,start_date_time,end_date_time,week_nr,weekday
8101,2025-01-01,1735689600,86400,9245,10000,1735776000,01/01/2025 00:00,01/02/2025 00:00,1,2
8101,2025-02-01,1735776000,86400,19145,15000,1735862400,01/02/2025 00:00,01/03/2025 00:00,1,3
8101,2025-03-01,1735862400,86400,11281,12000,1735948800,01/03/2025 00:00,01/04/2025 00:00,1,4
8101,2025-04-01,1735948800,86400,12143,12000,1736035200,01/04/2025 00:00,01/05/2025 00:00,1,5
8101,2025-05-01,1736035200,86400,13651,15000,1736121600,01/05/2025 00:00,01/06/2025 00:00,1,6
8101,2025-06-01,1736121600,86400,17275,15000,1736208000,01/06/2025 00:00,01/07/2025 00:00,2,0
8101,2025-07-01,1736208000,86400,10672,10000,1736294400,01/07/2025 00:00,01/08/2025 00:00,2,1
8101,2025-08-01,1736294400,86400,22617,15000,1736380800,01/08/2025 00:00,01/09/2025 00:00,2,2
8101,2025-09-01,1736380800,86400,9233,10000,1736467200,01/09/2025 00:00,01/10/2025 00:00,2,3
8101,2025-10-01,1736467200,86400,13011,15000,1736553600,01/10/2025 00:00,01/11/2025 00:00,2,4
8101,2025-11-01,1736553600,86400,11383,15000,1736640000,01/11/2025 00:00,01/12/2025 00:00,2,5
8101,2025-12-01,1736640000,86400,9918,12000,1736726400,01/12/2025 00:00,01/13/2025 00:00,2,6
8101,2025-01-13,1736726400,86400,20352,15000,1736812800,01/13/2025 00:00,01/14/2025 00:00,3,0
8101,2025-01-14,1736812800,86400,17556,15000,1736899200,01/14/2025 00:00,01/15/2025 00:00,3,1
8101,2025-01-15,1736899200,86400,12434,15000,1736985600,01/15/2025 00:00,01/16/2025 00:00,3,2
8101,2025-01-16,1736985600,86400,10593,10000,1737072000,01/16/2025 00:00,01/17/2025 00:00,3,3
8101,2025-01-17,1737072000,86400,14671,12000,1737158400,01/17/2025 00:00,01/18/2025 00:00,3,4
8101,2025-01-18,1737158400,86400,13923,12000,1737244800,01/18/2025 00:00,01/19/2025 00:00,3,5
8101,2025-01-19,1737244800,86400,12667,10000,1737331200,01/19/2025 00:00,01/20/2025 00:00,3,6
8101,2025-01-20,1737331200,86400,12681,10000,1737417600,01/20/2025 00:00,01/21/2025 00:00,4,0
8101,2025-01-21,1737417600,86400,9207,10000,1737504000,01/21/2025 00:00,01/22/2025 00:00,4,1
8101,2025-01-22,1737504000,86400,17986,15000,1737590400,01/22/2025 00:00,01/23/2025 00:00,4,2
8101,2025-01-23,1737590400,86400,8363,12000,1737676800,01/23/2025 00:00,01/24/2025 00:00,4,3
8101,2025-01-24,1737676800,86400,17253,15000,1737763200,01/24/2025 00:00,01/25/2025 00:00,4,4
8101,2025-01-25,1737763200,86400,16266,15000,1737849600,01/25/2025 00:00,01/26/2025 00:00,4,5
8101,2025-01-26,1737849600,86400,12256,12000,1737936000,01/26/2025 00:00,01/27/2025 00:00,4,6
8101,2025-01-27,1737936000,86400,12036,12000,1738022400,01/27/2025 00:00,01/28/2025 00:00,5,0
8101,2025-01-28,1738022400,86400,7966,10000,1738108800,01/28/2025 00:00,01/29/2025 00:00,5,1
8101,2025-01-29,1738108800,86400,14242,12000,1738195200,01/29/2025 00:00,01/30/2025 00:00,5,2
8101,2025-01-30,1738195200,86400,13748,10000,1738281600,01/30/2025 00:00,01/31/2025 00:00,5,3
8101,2025-01-31,1738281600,86400,14544,10000,1738368000,01/31/2025 00:00,02/01/2025 00:00,5,4
8101,2025-01-02,1738368000,86400,16935,12000,1738454400,02/01/2025 00:00,02/02/2025 00:00,5,5
8101,2025-02-02,1738454400,86400,13602,12000,1738540800,02/02/2025 00:00,02/03/2025 00:00,5,6
8101,2025-03-02,1738540800,86400,11156,10000,1738627200,02/03/2025 00:00,02/04/2025 00:00,6,0
8101,2025-04-02,1738627200,86400,18718,15000,1738713600,02/04/2025 00:00,02/05/2025 00:00,6,1
8101,2025-05-02,1738713600,86400,12391,10000,1738800000,02/05/2025 00:00,02/06/2025 00:00,6,2
8101,2025-06-02,1738800000,86400,14542,12000,1738886400,02/06/2025 00:00,02/07/2025 00:00,6,3
8101,2025-07-02,1738886400,86400,14177,15000,1738972800,02/07/2025 00:00,02/08/2025 00:00,6,4
8101,2025-08-02,1738972800,86400,11076,12000,1739059200,02/08/2025 00:00,02/09/2025 00:00,6,5
8101,2025-09-02,1739059200,86400,11464,10000,1739145600,02/09/2025 00:00,02/10/2025 00:00,6,6
8101,2025-10-02,1739145600,86400,9072,10000,1739232000,02/10/2025 00:00,02/11/2025 00:00,7,0
8101,2025-11-02,1739232000,86400,12092,12000,1739318400,02/11/2025 00:00,02/12/2025 00:00,7,1
8101,2025-12-02,1739318400,86400,7469,10000,1739404800,02/12/2025 00:00,02/13/2025 00:00,7,2
8101,2025-02-13,1739404800,86400,18078,15000,1739491200,02/13/2025 00:00,02/14/2025 00:00,7,3
8101,2025-02-14,1739491200,86400,14561,15000,1739577600,02/14/2025 00:00,02/15/2025 00:00,7,4
8101,2025-02-15,1739577600,86400,19699,15000,1739664000,02/15/2025 00:00,02/16/2025 00:00,7,5
8101,2025-02-16,1739664000,86400,16178,15000,1739750400,02/16/2025 00:00,02/17/2025 00:00,7,6
8101,2025-02-17,1739750400,86400,9956,10000,1739836800,02/17/2025 00:00,02/18/2025 00:00,8,0
8101,2025-02-18,1739836800,86400,13925,12000,1739923200,02/18/2025 00:00,02/19/2025 00:00,8,1
8101,2025-02-19,1739923200,86400,15293,15000,1740009600,02/19/2025 00:00,02/20/2025 00:00,8,2
8101,2025-02-20,1740009600,86400,10992,12000,1740096000,02/20/2025 00:00,02/21/2025 00:00,8,3
8101,2025-02-21,1740096000,86400,10654,10000,1740182400,02/21/2025 00:00,02/22/2025 00:00,8,4
8101,2025-02-22,1740182400,86400,13060,12000,1740268800,02/22/2025 00:00,02/23/2025 00:00,8,5
8101,2025-02-23,1740268800,86400,17631,15000,1740355200,02/23/2025 00:00,02/24/2025 00:00,8,6
8101,2025-02-24,1740355200,86400,7757,10000,1740441600,02/24/2025 00:00,02/25/2025 00:00,9,0
8101,2025-02-25,1740441600,86400,16810,15000,1740528000,02/25/2025 00:00,02/26/2025 00:00,9,1
8101,2025-02-26,1740528000,86400,19818,15000,1740614400,02/26/2025 00:00,02/27/2025 00:00,9,2
8101,2025-02-27,1740614400,86400,18793,15000,1740700800,02/27/2025 00:00,02/28/2025 00:00,9,3
8101,2025-02-28,1740700800,86400,22449,15000,1740787200,02/28/2025 00:00,03/01/2025 00:00,9,4
8101,2025-01-03,1740787200,86400,10290,12000,1740873600,03/01/2025 00:00,03/02/2025 00:00,9,5
8101,2025-02-03,1740873600,86400,12595,12000,1740960000,03/02/2025 00:00,03/03/2025 00:00,9,6
8101,2025-03-03,1740960000,86400,9668,12000,1741046400,03/03/2025 00:00,03/04/2025 00:00,10,0
8101,2025-04-03,1741046400,86400,20473,15000,1741132800,03/04/2025 00:00,03/05/2025 00:00,10,1
